id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2793539141,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-03-30T11:59:26.013Z,2025-03-30T15:53:03Z,,,,,5610172999,59,"1, 25, 14, 18, 4, 34, 21, 20, 11, 22, 10, 15, 16, 17, 24, 26, 27, 31, 33, 45",5610173003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610173005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610173001,130,2,5610172997,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610467757,197,21756,5610467755,194,8uhv14rin2znrr0wqgvcc2f2t,5610172995,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4i0jiisff5k1efcgf27skpqfo, cqsc3mj8klukkgutdrpegybdg, dfxs5u8rdcxhzp33aks3acdn8, 3epwf56ozg73hueacwmckk0r9, 6k7khwtkxpem9z17bl5rrf2p6, 81w1fqi66z0ibawynhraybaxg, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, 9dh7cnu4uzbraeck0t5iqlj4k, 4lxxyqy78jkglhv2w6crzcnsa, c2x3pewqx6d9q3c5dup0udxw, 7hso2bszmf4qal560jhrg2904, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4m9sp9mxlsjk6fv7v218yqfv9",,,,,,,,,,,,,,,,,,,,,,,,
2793540503,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-30T12:01:39.417Z,2025-03-30T15:33:48Z,,,,,5610179763,130,4,5610179765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610179759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610442599,197,4604,5610179761,59,"1, 2, 3, 7, 4, 25, 20, 18, 17, 10, 31, 11, 13, 15, 21, 23, 24, 26, 29, 32",5610179767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610179757,30,"2g019dl7zougqjo7usig0rf11, 1mml4inucvyomv1dcog3c1pt5, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, dqtarwrqvkopmzbt2ovp2dln9, auk14ut8cwaqop549u2zmfgt1, e42jh6bbwn4aybdnysonrvutx, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 5vwzliaibdlhfm38g8v5z0r8p, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 15jhbyn4wsbd865fd9djcwaok, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, ev2s21ogvpjtata4fndi868ve, 1vfh2k9yurk6t5s1vmgmlmfpw",5610492151,194,wha77a8wm7jyn32743y0w79x,,,,,,,,,,,,,,,,,,,,,,,,
2793597311,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-03-30T13:00:47.939Z,2025-03-30T13:00:48Z,,,,,5610481345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597327,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-30T13:00:47.939Z,2025-03-30T13:00:51Z,,,,,5610481419,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597389,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2025-03-30T13:00:47.940Z,2025-03-30T13:00:52Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5610481755,279,S,5610481733,56,Back,5610481751,213,2.60,5610481747,212,25.4,5610481739,140,29.3,5610481743,141,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597451,4,1,1,0,4,a9vw7ikerpr4cuweeeka5aneg,1,29.3,69.3,2025-03-30T13:00:52.603Z,2025-03-30T13:00:57Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5610482103,213,5.97,5610482105,1,,5610482101,212,40.9,5610482099,141,50.7,5610482095,56,Center,5610482093,157,,5610482097,140,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597457,5,1,1,0,5,a9vw7ikerpr4cuweeeka5aneg,0,66.3,50.7,2025-03-30T13:00:53.307Z,2025-03-30T13:03:35Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5610482133,56,Center,5610482135,140,72.8,5610482129,3,,5610482131,168,,5610482137,141,50.9,5610482141,213,0.02,5610482139,212,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597469,3,1,1,0,8,dbl7ir1qugqz8nvp1vzn8im50,0,23.7,46.4,2025-03-30T13:00:56.423Z,2025-03-30T13:00:58Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5610482205,56,Back,5610482203,3,,5610482211,212,32.9,5610482215,1,,5610482213,213,0.99,5610482207,140,40.9,5610482209,141,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597537,4,43,1,0,13,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-30T13:01:01.847Z,2025-03-30T13:01:38Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5610482543,285,0,5610482541,56,Back,5610485743,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597549,5,43,1,0,14,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-30T13:01:02.366Z,2025-03-30T13:02:24Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5610490669,144,44,5610482577,285,0,5610482575,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
