id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2713231497,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-25T12:07:43.532Z,2024-08-25T15:39:43Z,,,,,5172090883,130,8,5172090879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5172090885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5172302995,194,a30gduuv9d1s4pkthgu2jhyol,5172301975,197,19945,5172090877,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 6uwvbagahvoavs630k8uksxjp, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, dncrhma6gwcn6pxiu7hfc6qz8, 45dqseup0cmujyl4nprr29y0a, 9tt9eo9bsff7dp7aqjal1obo4, 9r07ooissj5mz15g87x5rmbx1, 2cup1vjw8n43kbzzxfflnmplg, 615e0bjcd0tyge047sy43y5sl, dwpns7gcg4s1c35df5td9ow7o, expisj0yt6l9v1kof4or2ak4q, 37rzipex1y0nhv8o2dr7h2bys, 5e5fuj7mbkpvf0bug32ixxc5x, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8",5172090881,59,"1, 15, 23, 11, 5, 2, 22, 30, 9, 14, 7, 10, 17, 20, 21, 24, 27, 28, 29",5172090887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713234203,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-25T12:10:53.188Z,2024-08-25T15:49:41Z,,,,,5172303873,197,11563,5172105397,59,"90, 14, 17, 6, 5, 18, 97, 8, 16, 7, 98, 2, 3, 4, 9, 13, 19, 20, 21, 23",5172105401,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5172105395,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5172105403,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5172105393,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, 3od63zrf6cay4d6ync9i2iuqc, ei3xmwfz8dah5e4lcbu4w98t1, y4dl1rer075c9wz6zhx7skbt, 6wfu6s6xo5zjeke21fgbouql0, 9jqox80arzpytv1b136jobhpm, ayxi2m0g0pm6rl1ba5pto66z9, 289rctmvd5ppy9zqn98jbe4et, bvc80w5ai425plu54nhgx5fxl, 6yev7nszmpylpqncom2gdkul1, b1kyjkhaaiw32cb4bubbpm7tg, 6lb4k3g75nzgi8bp1y1mzxkru, 7ztdirfvd9d0x2yw1v051xzbo, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 23sc7wc7my7wes6cuaxw1v0no, c8btmt9x3j3yhm8sa4tgch34k",5172303871,194,ei3xmwfz8dah5e4lcbu4w98t1,5172105399,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713273361,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-25T13:01:11.644Z,2024-08-25T13:01:12Z,,,,,5172310409,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713273351,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-25T13:01:11.644Z,2024-08-25T13:01:11Z,,,,,5172310349,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713273435,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,50.2,50.3,2024-08-25T13:01:11.645Z,2024-08-25T13:01:16Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5172310741,212,29.5,5172310737,140,26.5,5172310745,279,S,5172310739,141,27.0,5172310735,56,Back,5172310743,213,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713273475,4,1,1,0,4,8gxd9ry2580pu1b1dd5ny9ymy,1,26.4,25.9,2024-08-25T13:01:16.245Z,2024-08-25T13:01:18Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5172310971,213,4.94,5172310959,56,Back,5172310963,141,2.3,5172310967,212,16.5,5172310961,140,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713273501,5,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,29.9,2.3,2024-08-25T13:01:18.684Z,2024-08-25T13:01:20Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5172311077,212,13.4,5172311071,56,Back,5172311075,141,5.2,5172311079,213,0.15,5172311073,140,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713273513,6,1,1,0,9,8gxd9ry2580pu1b1dd5ny9ymy,1,42.5,5.2,2024-08-25T13:01:20.796Z,2024-08-25T15:14:59Z,dncrhma6gwcn6pxiu7hfc6qz8,A. Smed,,,5172311177,156,,5172311151,141,5.2,5172311149,140,32.4,5172311153,212,10.6,5172311147,56,Back,5172311155,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713273531,7,1,1,0,10,8gxd9ry2580pu1b1dd5ny9ymy,0,31.8,4.7,2024-08-25T13:01:22.220Z,2024-08-25T13:59:37Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,,5172568405,1,,5172311233,140,68.0,5172311239,213,0.22,5172311235,141,17.2,5172311237,212,38.9,5172311231,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713273583,4,1,1,0,12,6wwwud48qahpwrfxs20334qk5,1,34.2,73.5,2024-08-25T13:01:24.257Z,2024-08-25T13:01:27Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5172311447,141,69.9,5172311449,212,11.3,5172311443,56,Back,5172311451,213,6.06,5172311445,140,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
