id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2709218843,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-16T16:08:20.636Z,2024-08-16T21:21:05Z,,,,,5150026045,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, e9o7q10wnhex4e8eo47mobbvt, dqtarwrqvkopmzbt2ovp2dln9, wrckom9vy4352nos44600ydw, 97xbmht3t4t1p9iu6598oq7l5, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 80s55a7uw8kypoikefwhtdm5m, 1b32j0lqi7ggcabdra4tygxzo, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, 5wmik73cqursg7sv3w14ue5pm, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, rbk7g9mpasw3edltliscyzv8, ewh6t7yo6clfewu89uznll9uc, 15jhbyn4wsbd865fd9djcwaok, wha77a8wm7jyn32743y0w79x",5150026049,59,"16, 20, 2, 6, 4, 28, 8, 18, 17, 30, 11, 1, 5, 10, 14, 15, 19, 26, 40, 7",5150026057,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150026055,194,e9o7q10wnhex4e8eo47mobbvt,5150026047,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5150093827,197,24396,5150026051,130,4,5150026053,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709220625,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-16T16:15:27.467Z,2024-08-16T16:59:19Z,,,,,5150094231,197,19798,5150035979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150035975,59,"13, 2, 3, 8, 5, 12, 10, 14, 11, 27, 22, 1, 6, 9, 16, 18, 20, 21, 26, 28",5150035973,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5150035971,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, ezbixgm2km8iapnsl57bn4wkp, 2uellcocrvapu7o70g5zdcmad, 9213debwtuph6cjborx73sx78, as7qhgi67gngq0nb3zmwg8jro, e8vt8711wb40afht2v13omket, 8i0o1b8rjsab9se3v6vteqmfo, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 5u9zrgsm6wycfcbk04m64wd1w, zpl7lyln792rt0b2oedamvbo, dja68kdmhtsm9x5zqzgtpqas4, 86mx27krl6c613x6e3t9g3cic, 6dki65mdd3letfjjj51i0w3c9, ab3nxxoj7bxlnhot9htoex1xw, 8xfqengyrwgxhhi86ok88vf2s, 8xe0fufxfgf5cuwgysz3r2j85",5150035981,194,ezbixgm2km8iapnsl57bn4wkp,5150035983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150035977,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231577,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-16T17:01:54.366Z,2024-08-16T17:01:56Z,,,,,5150098253,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231571,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-16T17:01:54.366Z,2024-08-16T17:01:54Z,,,,,5150098229,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231595,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.0,50.0,2024-08-16T17:01:54.367Z,2024-08-16T17:01:58Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5150098365,279,S,5150098355,56,Back,5150098359,141,36.1,5150098361,212,21.2,5150098363,213,3.60,5150098357,140,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231603,4,1,1,0,3,ajtb177oqwawkdwbqhldmq6mx,0,36.3,38.2,2024-08-16T17:01:57.843Z,2024-08-16T17:02:00Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5150098415,213,0.61,5150098407,56,Left,5150098409,140,79.7,5150098405,157,,5150098417,1,,5150098411,141,85.0,5150098413,212,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231627,3,1,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,0,24.2,25.9,2024-08-16T17:02:00.516Z,2024-08-16T17:02:02Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5150098517,212,26.9,5150098509,3,,5150098513,140,49.8,5150098511,56,Back,5150098519,213,6.28,5150098515,141,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231637,5,1,1,0,8,ajtb177oqwawkdwbqhldmq6mx,1,44.3,76.3,2024-08-16T17:02:03.195Z,2024-08-16T17:02:05Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5150098591,213,0.77,5150098585,140,50.9,5150098589,212,9.7,5150098581,3,,5150098583,56,Left,5150098587,141,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231649,6,1,1,0,11,ajtb177oqwawkdwbqhldmq6mx,0,52.1,88.7,2024-08-16T17:02:05.379Z,2024-08-16T17:02:06Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5150098647,1,,5150098639,140,69.2,5150098635,157,,5150098643,212,20.1,5150098641,141,75.4,5150098637,56,Center,5150098645,213,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231675,4,1,1,0,13,dbl7ir1qugqz8nvp1vzn8im50,1,39.6,25.8,2024-08-16T17:02:07.409Z,2024-08-16T17:02:09Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5150098757,213,0.25,5150098749,56,Center,5150098747,3,,5150098755,212,22.1,5150098753,141,34.0,5150098751,140,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
