id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2722749183,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-20T16:12:42.769Z,2024-09-20T17:58:23Z,,,,,5224358061,130,2,5224358059,59,"1, 4, 73, 20, 8, 19, 17, 29, 49, 9, 10, 3, 6, 7, 11, 16, 22, 27, 34, 37",5224446193,197,23642,5224446551,194,a7eramyy1bd8msxmg84ctc8ut,5224358063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224358057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5224358065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224358055,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, oywgthoxa153nf48la1j8v10, 7j35sfip0xb51mpa91wzikrh0, a7eramyy1bd8msxmg84ctc8ut, 8rn42gm9xm3yunk883yan9vdg, 11cna826ls27ahux2w0ckapqt, 78iynnu6cnznv6fxpo4br4mlm, ju24rgwcctj5yizl54o91gfe, 9l89n30nejpn2u22ygvchwnze, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, egwhlgopjtjkop7ozy7ltk1cl, 139g7ilwvcpl519v3scnweg2d, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 5hr1cb6e6xb3eyjnau7w4825l, 6t6k24gn6zwxz1g6c3n4ph0q, 18vvlxsaoloypja4fdddj687o, 6xnn9048x2zmwprfsg0lhq61g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722753385,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-09-20T16:28:10.354Z,2024-09-20T21:23:08Z,,,,,5224381865,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, abhfq12njxxutqjtb9zvcusyc, 74m58jsznzu8l89b8h7rkh1bd, 3mcj3wypzq3lno1ehc0vif1sl, 619s1phj5bkgkug3aszc1y9cl, e0u730to91qqtvvx16uhajz10, 69h930ebovyl7rut5dz4r2iok, 98zlz2sscsf6vb7d52ici074k, 2lc9bt5639t572il73e9y044, 67p0s4o54xcmiustgy8k5gljo, 45b72f8szmqnv8tz06j7mj1wq, 3mgrufy83uhzs9liw8pwxi784, k43cten7yb6p59yo0firhb84, 4iypayr7a6oylzojn4houu5n8, c8exa9vh1xxpieov380g8r3hm",5224381873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224381871,130,7,5224381867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5224446175,197,9535,5224381875,194,619s1phj5bkgkug3aszc1y9cl,5224381869,59,"1, 3, 21, 22, 2, 4, 18, 10, 26, 7, 30, 8, 9, 12, 16, 14, 28, 31, 32, 27",5224381877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767239,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-09-20T17:00:56.658Z,2024-09-20T17:00:56Z,,,,,5224451679,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767249,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-20T17:00:56.658Z,2024-09-20T17:00:57Z,,,,,5224451735,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767267,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,50.2,50.6,2024-09-20T17:00:56.659Z,2024-09-20T17:01:00Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5224451859,1,,5224451851,140,18.9,5224451861,279,S,5224451853,141,62.0,5224451857,213,2.91,5224451855,212,33.8,5224451849,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722775931,115,83,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,0,80.3,63.4,2024-09-20T17:15:05.482Z,2024-09-20T21:47:32Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5224496961,399,619s1phj5bkgkug3aszc1y9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767295,4,1,1,0,4,8cfkisxf1fkxdqtt6tx1tup48,0,18.2,60.9,2024-09-20T17:01:00.726Z,2024-09-20T17:01:04Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224451997,157,,5224452007,213,0.15,5224452005,212,62.7,5224452001,140,77.2,5224452009,1,,5224451999,56,Center,5224452003,141,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767363,3,2,1,0,8,7gkglopz9cjsysn2u6sbhuvc5,1,30.2,40.9,2024-09-20T17:01:05.617Z,2024-09-20T17:01:12Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5224452365,56,Center,5224452341,141,56.0,5224452363,1,,5224452361,7,ju24rgwcctj5yizl54o91gfe,5224452339,140,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767393,5,55,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,1,36.3,39.1,2024-09-20T17:01:05.618Z,2024-09-20T19:39:20Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224602609,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722767491,6,1,1,0,24,8cfkisxf1fkxdqtt6tx1tup48,1,52.2,29.8,2024-09-20T17:01:20.903Z,2024-09-20T17:01:25Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224452895,212,15.6,5224452889,56,Back,5224452897,213,2.75,5224452887,241,,5224452893,141,38.6,5224452891,140,38.5,5224452885,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
